title,body,url,is_ad,is_side_job,is_failure,length
우리도 그럼,"(알수없음)
20/03/03 12:50
재택수업하는거야?",https://everytime.kr/375208/v/107043177,False,True,False,31
"GFN 광주영어방송국 제10기 ""청년 크리에이터즈"" 모집 공고","빈똥
21/06/22 10:45
SNS를 통해 광주영어방송(GFN)을 널리 알릴 열정 가득한
GFN 크리에이터즈 10기를 모집합니다!
※ 활동내용 ※
- 재택근무
- 월 2회 운영회의 개최
- 담당 SNS 운영계획에 따른 GFN 홍보 활동
- 개인 영상 1개 및 공동 프로젝트 영상 1개 제작
- 다양한 GFN 행사 홍보 및 참여
※ 활동 혜택 ※
- 최대 월 33만원 개인 활동 비 지급
- GFN 주관 행사 시 진행 요원 우선 선발
- GFN 크리에이터즈 신분증 발급
- 활동 종료 후 활동 증명서 발급
- 각종 GFN 방송프로그램 참여 기회 우선 제공
여기 링크 들어가셔서 지원서 작성하시고 메일(gfnglocal@gmail.com)로 보내시면 됩니당!
http://www.gfn.or.kr/bbs/board.php?bo_table=comm_notice&wr_id=623",https://everytime.kr/375182/v/196698961,True,True,False,434
방금 대구경북만 재택수업이라는 글,"(알수없음)
20/03/04 10:16
글쓴이잘못보단 조교가 잘못전달한거같음ㅋㅋ
말이되냐 그 세개지역만 자가수업하는게",https://everytime.kr/375208/v/107250333,False,True,False,65
"💥 내가 직접! 제품 판매하고, 상금 받고, 수익도 챙기는 대회 참가할사람🙌","창업보육센터
25/07/15 14:41
2025년 전남대학교 마케팅&세일즈 경진대회 참가자 모집!!
👉 직접 팔아본 스펙이 있다면, 흔치 않을걸?
광주광역시의 떠오르는 스타트업, 기업의 제품들을 직접 스마트스토어와 오프라인에서 판매해봐!
실전 세일즈 경험 + 상금 + 수익까지 쏙쏙 챙길 수 있는 단 한번의 기회!!
💰 참가만 해도 혜택이 팡팡!
✔️ 참가팀 전원 활동비 30만원 지급
✔️ 판매된 제품의 순수익 100% 지급
✔️ 우수팀 시상 – 판매 성과에 따라 푸짐한 상금!! 1등은 무려 전남대학교 총장상?!
✔️ 실전 경험 + 빵빵한 이력서! + 포트폴리오까지 완성!
📦 대회 개요
➡️ 전남대학교 재(휴)학생이라면 2인 이상 누구나 신청 가능!
➡️ 스마트스토어도 모르고... 판매 방법도 하나도 몰라도?! OK !
매출액 20억 기업의 대표가 직접 알려주는 스마트 스토어 운영법과
콘텐츠로 월에 1천만원 버는 대표가 알려주는 판매 콘텐츠 노하우까지 모두 제공
🎯 이런 분께 추천합니다
✅ 온라인/오프라인 판매 경험이 필요한 분
✅ 마케팅/세일즈 분야 취업 희망자
✅ 실전 창업/비즈니스에 관심 있는 학생
📍 [참가 방법] 링크 클릭 → https://forms.gle/dWzv8Xuby1mZmYUJA
📞 문의: 창업보육센터 062-530-5080/5096
🔥 세일즈는 이론보다 실전!
🔥 경험은 하고 싶은데, 돈까지 준다고?!
이번 기회, 절대 놓치지 마세요.",https://everytime.kr/375183/v/385232884,True,True,True,712
전북 출신자 조사 후 스벅 쏠게,"(알수없음)
20/12/09 21:15
졸업 막학기 내인생... 지역민들을 대상으로 재능 조사를 하는게 내 부업인데, 2명을 못채웠네... 없던 친구 있던친구 다 모았지만 불가능이었어.. 친구가 원래 없어서..
그래서 애타에 올리게 됐어.. 스벅으로 꼬시려구 선착순이야.1 명..
이 조사의 활용:
1. 농촌에 있는 사람들의 재능을 조사하여, 사이트(전라북도 일자리 일거리 은행)에 등록한다.
2. 구인을 하는 기업들은 재능을 보고 구인의사가 있을 시 센터에 연락한다.
3. 센터에서 조사자에게 연락한다
4. 조사자가 원할 시 연결, 아닐시 연결 x
유의사항
지금 취업의사가 없어도 됨.
연계를 희망하지 않아도 됨(2번항목). 대신 일자리 은행에 등록은 해놔야함.
개인 신상은 1번 사진정도로 등록됨. 전화번호 노출x
사업 초기라 DB만들고 있어. 조사지를 보면 원하는 정보가 가볍다는 걸 알거야! 작성되면 쿨하게 커피 쏴줄거야. 거짓말 아니구! 연락줘.
오픈채팅방 https://open.kakao.com/o/ssABSRKc
(알수없음)",https://everytime.kr/375208/v/156259786,True,True,True,525
isfp알바 투잡 뛰어야겠다,"23/08/11 14:53
생활비가 너무 쪼달리네..
편의점(주말)-오전8시부터 오후3시, 최저시급, 사장님 개천사
전단지 부착(평일)-오후3시부터 오후7시 주 2일이나 3일만 1년이상 장기도 가능 (방금 구함. 담주 월요일부터)
최대한 혼자 작업하는 알바 위주로 잡음 개좋다..ㅋㅋ 본가에서는 상상도 못했을일.. 역시 사람은 광역시 이상은 살아야 해..ㅋㅋ",https://everytime.kr/375208/v/312296065,False,True,False,200
용봉동 나들가게파머스마켓에서 남자 아르바이트생을 구합니다.,"21/11/08 13:08
안녕하세요! 용봉동 나들가게파머스마켓에서 남자 아르바이트생을 구합니다.
1. 업무는 매장 물건 채우기, 청소, 계산입니다.
2. 임금은 최저임금 8720원입니다.
3. 주말(토, 일)에 일하고, 18~22 4시간씩 일주일에 총 8시간 일합니다.
일이 정말 쉽고, 매장이 작아서 일이 많지 않습니다.
물건 채우고 청소를 하고 나면, 편하게 앉아 있다가 손님이 올 때만 일어나서 계산하면 됩니다. 근무 시간도 적어서 대학 생활과 병행하거나 투잡으로 하기 좋습니다.
010-5158-1814로 많은 지원 부탁드립니다~~~",https://everytime.kr/375208/v/217427374,False,True,False,303
스타벅스 상품권,"전대123
24/03/07 15:22
5만원->44000 판매합니다
2장있는데 낱개로도 구매 가능해요~~",https://everytime.kr/377489/v/334621368,False,False,False,58
광주 복합쇼핑몰 2027년 개장한다는데,"25/03/10 03:30
어떻게 생각함?",https://everytime.kr/375208/v/372842723,False,True,False,23
비전화기공대생인데,"20/07/21 15:19
주말알바투잡해서 오전7시부터오후12시까지일하면 뒤질까요 주말알바만요",https://everytime.kr/375208/v/133510100,False,True,False,52
